screen_name,created_at,location,source,hashtags,text
rachlucidarme,2020-04-10 22:10:34,"Liverpool, England",Twitter for Android,COVID19,"Heartening to hear in today's #COVID19 daily briefing Professor Stephen Powis @NHSEnglandNMD talk about our close working relationship with @NHSEngland &amp; reiterate the message that #Stroke remains a medical emergency despite Coronavirus (Covid-19). 

#Call999
#ActFAST https://t.co/ilNOezhbIB"
teresedau1,2020-04-10 22:10:34,,Twitter Web App,,"diarrhoea has been reported as an early symptom;  loss of taste or smell; eye infection or conjunctivitis; mental fatigue; feeling extremely tired
Going to the toilet more often and four other mild signs of COVID-19
https://t.co/ClLTLIfYZI"
Find45sdealer,2020-04-10 22:10:32,World,Twitter for iPhone,,New from me: A lot of pharmaceutical companies that are doing aggressive PR to brand themselves as a part of the solution to #COVID19 are huge Fox News advertisers sponsoring the spread of medical misinformation https://t.co/tBiVHUP7eZ
alsadvocacy,2020-04-10 22:10:30,Stanford MedX ePatient Scholar,Twitter for iPhone,COVID19,"Gilead data from 53 patients on potential #COVID19 drug 'hopeful' - but lots of caveats from study of 'compassionate use' patients https://t.co/ZW4OaCl4vg via @SFBusinessTimes
$GILD"
RudyHarperWXYZ,2020-04-10 22:10:28,"Detroit, MI",Twitter Web App,,"UPDATED NUMBERS: Today, @MichiganHHS reported 1,279 new COVID-19 cases &amp; 205 deaths. This brings our total cases to 22,783 &amp; 1,281 deaths. Find the latest data, info &amp; #COVID19 news at https://t.co/m2sOFDoo30. https://t.co/fKrp9iLX3I"
CndMusicVideos,2020-04-10 22:10:24,"Ontario,Canada",Twitter Web App,,"New video released by the U.K.'s air traffic controller shows the effect of the COVID-19 pandemic on air travel over the country. 
#CTVNews #Covid19 #coronavirus #map #plane #UK #flight https://t.co/mdVrJZSeTT"
SarahDodge7,2020-04-10 22:10:20,,Twitter Web App,TOA,"Having difficulty finding answers to your COVID-19 questions?

Check out our new #TOA COVID-19 FAQ Fact Sheet! 📝 https://t.co/JxlG2X8rpq https://t.co/E8EVDgxrOE"
dereck_kaale,2020-04-10 22:10:20,Afrika,Twitter for iPhone,,"Why are African Americans disproportionately suffering from COVID-19? In principle, we are all equal before pandemics, but in practice, COVID-19 is hitting some people much harder than others.

#covid19 https://t.co/QTSUXB76OS"
barbara_volkwyn,2020-04-10 22:10:19,"Cape Town, South Africa",Twitter Web App,"Coronavirus, CoronavirusSouthAfrica, CoronavirusSA, CoronavirusInSA, coronavirusafrica, Covid_19, Covid19SA, COVID19, CoronaUpdate, LockdownSAExtended",South Africa - Cloth Face Masks. USA. #Coronavirus #CoronavirusSouthAfrica #CoronavirusSA #CoronavirusInSA #coronavirusafrica #Covid_19 #Covid19SA #COVID19 #CoronaUpdate #LockdownSAExtended https://t.co/VpCbaC8CNS
RockyFahy,2020-04-10 22:10:19,,Twitter for Android,COVID,156 residents of Irish nursing homes have died from #COVID-19 in 41 days. That's 54% of all COVID deaths so far. First time we got that figure. #COVIDー19 #COVID19 #COVIDー19 #coronavirus
ll_lcda,2020-04-10 22:10:09,"Caracas, Venezuela",Twitter Web App,COVID19,"See how we're working to support individuals, families and communities during the #COVID19 pandemic ➡️https://t.co/Ug8LuvIkBj https://t.co/w3mXxOUizh"
fikaaaa94,2020-04-10 22:10:02,"Kota Kinabalu, Sabah",Twitter for Android,,"By now, everyone is all too familiar with COVID-19, but do you understand how it actually affects your body? I made this poster to try to summarize the main events that occur following infection. I hope you learn something! 
#sciart #scicomm #coronavirus #covid19 https://t.co/j3Kr47pNY1"
mjgrisolia,2020-04-10 22:10:02,"Rosario, Argentina",Twitter for Android,,65+ centers and studies have signed on to be part of the COVID-19 Host Genetics Initiative and answer the question: Why do some people have worse #COVID19 symptoms than others? @dalygene talks about the initiative's origin stories and goals. #coronavirus https://t.co/Q0hYYL27O3
Tycoon_ola,2020-04-10 22:10:00,,Twitter for Android,COVID19,"This is the moment staff at Darent Valley Hospital in Dartford cheered as a recovering #COVID19 patient left intensive care.

For the latest updates on #coronavirus, click here: https://t.co/TqQ0SZabHn https://t.co/b0s5l6pqUs"
johanzammit,2020-04-10 22:09:59,Malta,Twitter Web App,"startups, covid19, coronavirus, entrepreneur, technology, entrepeneurship, founders, innovation, smallbusiness, malta","Startups are taking up the fight against COVID-19. 

More than ever we need fast-acting, socially conscious startups . 

https://t.co/H6QK0AH60U

#startups #covid19 #coronavirus #entrepreneur #technology #entrepeneurship #founders #innovation  #smallbusiness #malta"
CTVNews,2020-04-10 22:09:59,,Twitter Media Studio,"CTVNews, Covid19, coronavirus, map, plane, UK, flight","New video released by the U.K.'s air traffic controller shows the effect of the COVID-19 pandemic on air travel over the country. 
#CTVNews #Covid19 #coronavirus #map #plane #UK #flight https://t.co/mdVrJZSeTT"
chichosex1,2020-04-10 22:09:59,,Twitter Web App,,"@Allkeyshop join @globalgiving !  Fight the covid19 with the allkeyshop team

https://t.co/ld4c3oZ2Iy

#Allunitedagainstcovid19 #COVID--19 #staysafe #stayathome #GlobalGiving #coronavirus #confinement #Lockdown #Charity #Giveaway @foldingathome https://t.co/MxS204336K"
paramagpelygun,2020-04-10 22:09:55,Novosibirsk,Twitter for Android,,"Contact me if you are a point of care  health care provider, a diagnostic lab or other USFDA approved company who needs COVID-19 IgM/IgG Rapid Test. Overnight delivery available. #covid19 #coronavirus  #rapidtest"
irongvail,2020-04-10 22:09:48,"COLORADO,DENVER",Twitter for iPad,COVID19colorado,"New #COVID19colorado data (Change from Thurs.):

6,510 cases (+308)
1,312 hospitalized (+91)
56 counties (+0)
32,653 people tested (+1,473)
250 deaths (+24)
59 outbreaks at non-hospital health care facilities (+5)

https://t.co/dcEbKkd4E5

Updates: https://t.co/VszPd2XIrC"
maamccauley,2020-04-10 22:09:48,"Toledo, OH",Twitter for iPhone,,"Nearly all of Michigan's health insurance companies agreed to waive copays, deductibles and coinsurance for COVID-19 testing and treatments. #WestMichigan #COVID19 #HealthInsurance https://t.co/D18t9rgWLs"
WaquarMalik4,2020-04-10 22:09:47,,Twitter for iPhone,,"👨‍⚕️👩‍⚕️ Remember - always consult a qualified healthcare professional before taking antibiotics. Antibiotics don't work against viruses like #COVID19 virus.  

For more information on COVID-19 ➡️ https://t.co/C3mt4k815w 

#coronavirus

(ENDS) https://t.co/o3Gq9M1bFl"
broccolimartyr,2020-04-10 22:09:47,"winnipeg, Mb",Twitter for iPhone,NowIsNotTtheTime,"#NowIsNotTtheTime to take your boat out for a spin across the border or up the coast – it is not considered essential travel. #StayHome to help fight the spread of #COVID19.

🌐 https://t.co/MB0H83AdJd https://t.co/G9lk20nxFU"
covid19_alerts,2020-04-10 22:09:40,"Westmont, IL",Microsoft Power Platform,,"There is no need for us to call the Surgeon General names. We couldn’t possibly insult @JeromeAdamsMD more than he has insulted himself today. Since he is black and has talked about his own heart condition and high blood pressure, I mean that literally. https://t.co/US1uxbCsUE"
dan_bavuso,2020-04-10 22:09:38,"Monmouth County, New Jersey",Twitter for iPhone,COVID19,"Gilead data from 53 patients on potential #COVID19 drug 'hopeful' - but lots of caveats from 'compassionate use' study
https://t.co/AC50g1EmGS via @SFBusinessTimes
$GILD #coronavirus"
donnamoon81146,2020-04-10 22:09:34,,Twitter for Android,COVID19,"This is the moment staff at Darent Valley Hospital in Dartford cheered as a recovering #COVID19 patient left intensive care.

For the latest updates on #coronavirus, click here: https://t.co/TqQ0SZabHn https://t.co/b0s5l6pqUs"
Canageek,2020-04-10 22:09:31,"Vancouver, British Columbia",Twitter for Android,,"By now, everyone is all too familiar with COVID-19, but do you understand how it actually affects your body? I made this poster to try to summarize the main events that occur following infection. I hope you learn something! 
#sciart #scicomm #coronavirus #covid19 https://t.co/j3Kr47pNY1"
LampyLebone,2020-04-10 22:09:23,Botswana,Twitter for iPhone,"StayHomeBW, coronavirus, covid19, covid19BW","TOGETHER WE CAN BEAT COVID-19 

#StayHomeBW #coronavirus #covid19 #covid19BW https://t.co/e8wCU69xRs"
maevemcg,2020-04-10 22:09:22,Ardpatrick,Twitter for iPhone,COVID,156 residents of Irish nursing homes have died from #COVID-19 in 41 days. That's 54% of all COVID deaths so far. First time we got that figure. #COVIDー19 #COVID19 #COVIDー19 #coronavirus
